,id,text,created_at
0,1495415872164229120,RT @LurahIstana: Jokowi sudah mengesahkan peraturan wajib BPJS yg akan diterapkan dalam segala aspek baik pengurusan surat surat dan perjua…,2022-02-20T15:11:42.000Z
1,1495415869673177090,RT @NabilaAr__: Kami para santri sangat tepat dlm memilih Bpk Erick Thohir sbg penerus Presiden Jokowi. Indonesia sangat membutuhkan pemimp…,2022-02-20T15:11:41.000Z
2,1495415863377539074,"RT @Sangkuriang5551: FOKUS KE JOKOWI!

Masalah bukan di Mentan, Mendikbud, Menag, Menhan, Menaker, Mendag . . Masalah ada pada Jokowi.

HAN…",2022-02-20T15:11:39.000Z
3,1495415855546798083,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:11:38.000Z
4,1495415849015930880,"RT @CasanovaX8X: LOMBOK #MandalikaCircuit
#JokowiBangunNusantara
@jokowi 🇮🇩
@Lemp3r
@AbidinBoryta 
@tnmuda
@nikilo2512
@caesar_emil
@RstmBc…",2022-02-20T15:11:36.000Z
5,1495415838991859713,"RT @geloraco: BPJS Kesehatan Jadi Syarat Jual Beli Tanah, PKB Curiga Ada Penyusup Jahat Sekitar Jokowi
https://t.co/uxY1Xqbs5g",2022-02-20T15:11:34.000Z
6,1495415827960516623,"RT @KangUtang04: #JokowiTheRealDictator 
#JokowiTheRealDictator 
@MatahariTimur17
@DHEASAROH
@SanusiUndins
@I205mdr____
@syeifm
@alhadi3670…",2022-02-20T15:11:31.000Z
7,1495415826912264194,RT @kompascom: Hasil 71 persen tersebut merupakan gabungan dari responden yang sangat puas sebanyak 20 persen dan cukup puas sebanyak 51 pe…,2022-02-20T15:11:31.000Z
8,1495415825309724675,RT @LurahIstana: Jokowi sudah mengesahkan peraturan wajib BPJS yg akan diterapkan dalam segala aspek baik pengurusan surat surat dan perjua…,2022-02-20T15:11:30.000Z
9,1495415817768300546,"RT @OposisiCerdas: Tidak Hanya Jual-beli Tanah, Jokowi Teken Aturan Urus STNK, SIM dan SKCK Wajib Pakai BPJS Kesehatan
https://t.co/wqn51pF…",2022-02-20T15:11:29.000Z
10,1495415816275505155,RT @CNNIndonesia: Survei Indikator: 70 Persen Warga Puas Kinerja Jokowi https://t.co/KJLB7Nrxxx,2022-02-20T15:11:28.000Z
11,1495415809883074560,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:11:27.000Z
12,1495415801628672002,"RT @KangUtang04: #JokowiTheRealDictator 
#JokowiTheRealDictator 
@P4sop4ti2323
@Di45_1228
@M394NMIC
@Cint4N
@7lRiv3rSid3
@teriwinarno1
@Ibn…",2022-02-20T15:11:25.000Z
13,1495415797149167616,@jokowi @DivHumas_Polri @ListyoSigitP @kemkominfo @mohmahfudmd @PolhukamRI Game higgs domino island itu merusak pemikiran generasi bangsa!.. JANGANLAH TUNGGU ORG byk komplain dan viral baru diblokir!. Bapak2  punya wewenang memblokirnya!...,2022-02-20T15:11:24.000Z
14,1495415786688880642,RT @jokowi: Srikandi-srikandi bulutangkis putri Indonesia mencetak sejarah dengan meraih gelar juara pada Kejuaraan Bulutangkis Asia Beregu…,2022-02-20T15:11:21.000Z
15,1495415774298578946,"RT @KangUtang04: #JokowiTheRealDictator 
#JokowiTheRealDictator 
@FR33D0ML4ND
@FreeStranger22
@InSrikandi_
@CintaNirmala2
@OdriSeva
@Sumant…",2022-02-20T15:11:18.000Z
